name,type,interval,total_return,annualized_return,max_drawdown,max_drawdown_start_date,max_drawdown_end_date,sharpe_ratio,trading_days
排除T-1的top200信号-T2_13-15年牛市,backtest,13-15年牛市,380.99,98.32,-28.41,2013-10-14,2013-10-29,4.287,479
排除T-1的top200信号-T2_15年熊市,backtest,15年熊市,222.33,-73.22,-51.29,2015-06-12,2015-07-08,-1.0687,68
排除T-1的top200信号-T2_15-16年熔断,backtest,15-16年熔断,244.58,-98.2,-35.78,2015-12-30,2016-01-28,-1.8833,23
排除T-1的top200信号-T2_17-18年大票,backtest,17-18年大票,258.45,-15.65,-27.23,2017-01-05,2017-12-05,-1.0319,262
排除T-1的top200信号-T2_20-21年抱团,backtest,20-21年抱团,270.14,-14.34,-20.94,2020-07-14,2021-02-08,-0.8259,148
排除T-1的top200信号-T2_小票急跌区间,backtest,小票急跌区间,178.93,-78.19,-52.87,2023-11-20,2024-02-07,-2.1395,71
排除T-1的top200信号-T2-hs300_13-15年牛市,hedge,13-15年牛市,239.03,55.17,-34.48,2014-11-06,2015-01-05,2.9691,479
排除T-1的top200信号-T2-hs300_15年熊市,hedge,15年熊市,245.72,27.24,-33.37,2015-06-19,2015-07-07,0.4783,68
排除T-1的top200信号-T2-hs300_15-16年熔断,hedge,15-16年熔断,348.3,-57.3,-12.29,2015-12-30,2016-01-13,-2.5728,23
排除T-1的top200信号-T2-hs300_17-18年大票,hedge,17-18年大票,260.1,-28.21,-37.94,2017-01-05,2018-01-23,-1.8212,262
排除T-1的top200信号-T2-hs300_20-21年抱团,hedge,20-21年抱团,225.55,-30.46,-34.38,2020-09-09,2021-02-10,-1.8151,148
排除T-1的top200信号-T2-hs300_小票急跌区间,hedge,小票急跌区间,251.07,-75.29,-47.66,2023-12-14,2024-02-07,-2.1862,71
排除T-1的top200信号-T3_13-15年牛市,backtest,13-15年牛市,1108.51,138.63,-11.22,2013-10-14,2013-10-29,6.2058,479
排除T-1的top200信号-T3_15年熊市,backtest,15年熊市,719.06,-72.27,-41.51,2015-06-24,2015-09-15,-1.0622,68
排除T-1的top200信号-T3_15-16年熔断,backtest,15-16年熔断,848.11,-96.49,-26.99,2015-12-30,2016-01-28,-1.7106,23
排除T-1的top200信号-T3_17-18年大票,backtest,17-18年大票,1059.67,-8.84,-19.73,2017-01-05,2017-06-01,-0.6358,262
排除T-1的top200信号-T3_20-21年抱团,backtest,20-21年抱团,1288.4,-9.58,-16.67,2020-11-24,2021-02-08,-0.6287,148
排除T-1的top200信号-T3_小票急跌区间,backtest,小票急跌区间,1274.32,-73.7,-40.84,2023-12-04,2024-02-07,-2.0302,71
排除T-1的top200信号-T3-hs300_13-15年牛市,hedge,13-15年牛市,535.13,72.76,-27.8,2014-11-06,2015-01-05,4.1887,479
排除T-1的top200信号-T3-hs300_15年熊市,hedge,15年熊市,556.47,32.63,-25.24,2015-08-17,2015-09-02,0.6149,68
排除T-1的top200信号-T3-hs300_15-16年熔断,hedge,15-16年熔断,771.42,-21.11,-5.76,2015-12-30,2016-01-13,-1.1082,23
排除T-1的top200信号-T3-hs300_17-18年大票,hedge,17-18年大票,668.36,-25.87,-31.07,2017-01-05,2018-01-23,-1.6377,262
排除T-1的top200信号-T3-hs300_20-21年抱团,hedge,20-21年抱团,659.0,-29.59,-30.45,2020-09-09,2021-02-10,-1.9013,148
排除T-1的top200信号-T3-hs300_小票急跌区间,hedge,小票急跌区间,1055.03,-68.38,-39.84,2023-12-14,2024-02-07,-2.0106,71
排除T-1的top200信号-T15_13-15年牛市,backtest,13-15年牛市,2751.88,164.2,-8.8,2014-12-15,2014-12-23,7.0983,479
排除T-1的top200信号-T15_15年熊市,backtest,15年熊市,1683.01,-79.96,-44.81,2015-06-12,2015-09-15,-1.1003,68
排除T-1的top200信号-T15_15-16年熔断,backtest,15-16年熔断,1931.74,-97.84,-28.58,2015-12-30,2016-01-28,-1.6495,23
排除T-1的top200信号-T15_17-18年大票,backtest,17-18年大票,3309.29,4.57,-18.26,2017-04-11,2017-06-01,0.0864,262
