name,type,total_return,annualized_return,max_drawdown,max_drawdown_start_date,max_drawdown_end_date,sharpe_ratio,trading_days
排除T-1的top200信号-T2,backtest,290.03,6.65,-60.15,2021-12-21,2024-02-07,0.1354,4019
排除T-1的top200信号-T2-hs300,hedge,373.23,8.61,-49.67,2022-08-23,2024-02-07,0.2845,4019
排除T-1的top200信号-T3,backtest,2207.69,20.57,-43.37,2023-02-14,2024-02-07,0.6654,4019
排除T-1的top200信号-T3-hs300,hedge,1589.24,18.94,-37.51,2023-12-14,2024-02-07,0.8924,4019
排除T-1的top200信号-T15,backtest,11626.33,33.32,-43.24,2015-06-12,2015-09-15,1.1184,4019
排除T-1的top200信号-T15-hs300,hedge,5843.04,29.05,-32.04,2020-09-09,2021-02-10,1.5211,4019
排除T-1的top200信号-T5,backtest,7501.74,29.83,-39.36,2015-06-12,2015-09-02,0.99,4019
排除T-1的top200信号-T5-hs300,hedge,4618.26,27.16,-36.46,2023-12-15,2024-02-07,1.3576,4019
排除T-1的top200信号-T20,backtest,9028.17,31.29,-43.87,2015-06-12,2015-09-15,1.0493,4019
排除T-1的top200信号-T20-hs300,hedge,4585.62,27.11,-33.13,2020-09-09,2021-02-10,1.425,4019
排除T-1的top200信号-T10,backtest,13610.87,34.59,-40.29,2015-06-12,2015-07-08,1.1724,4019
排除T-1的top200信号-T10-hs300,hedge,7483.44,31.07,-33.56,2023-12-14,2024-02-07,1.6408,4019
zz1000,index,518.15,11.43,-72.35,2015-06-12,2018-10-18,0.3035,3829
zz500,index,282.19,6.63,-65.2,2015-06-12,2018-10-18,0.1405,4070
hs300,index,155.49,2.77,-46.7,2015-06-08,2016-01-28,-0.0102,4070
cyb,index,223.82,5.6,-69.74,2015-06-03,2018-10-18,0.0845,3727
