date,backtest_return,index_return,hedge_return,position_ratio,cash,total_value,net_value
2009-01-05,0,0,0.0,0.0,100000000.0,100000000.0,100000000.0
2009-01-06,0,0,0.02437378000000129,0.0467,95507353.78,100185138.78,100185138.78
2009-01-07,0,0,-0.010702989842294487,0.0973,90489019.0,100242712.0,100242712.0
2009-01-08,0,0,0.1749549082202697,0.1458,85463583.5,100048675.5,100048675.5
2009-01-09,0,0,-0.0016006450674632688,0.2003,80440741.27,100585005.27,100585005.27
2009-01-12,0,0,-0.022714554019268862,0.2528,75418438.09,100931177.09,100931177.09
2009-01-13,0,0,-0.03263194830476823,0.2968,70400912.39,100110727.39,100110727.39
2009-01-14,0,0,-0.1466602416821714,0.3546,65377993.15,101304764.15,101304764.15
2009-01-15,0,0,-0.08865088232970936,0.406,60356474.04,101611972.04,101611972.04
2009-01-16,0,0,-0.06783377531740059,0.455,55505024.95,101845426.95,101845426.95
2009-01-19,0,0,-0.052918004005879496,0.5039,50464153.91,101725410.91,101725410.91
2009-01-20,0,0,0.07993115021722996,0.5564,45418664.41,102375762.41,102375762.41
2009-01-21,0,0,-0.11524203088493283,0.6055,40372183.81,102335640.81,102335640.81
2009-01-22,0,0,-0.1240583079343387,0.6583,35330900.74,103392048.74,103392048.74
2009-01-23,0,0,0.44697218120901017,0.7067,30288767.57,103264616.57,103264616.57
2009-02-02,0,0,-0.21342143486344334,0.7606,25244580.21,105453812.21,105453812.21
2009-02-03,0,0,0.051248143319100325,0.8126,20207005.5,107835756.5,107835756.5
2009-02-04,0,0,-0.1850342497329429,0.8588,15498494.69,109761217.69,109761217.69
2009-02-05,0,0,0.3032062991545299,0.9047,10340682.96,108490191.96,108490191.96
2009-02-06,0,0,-0.2702275378661714,0.9527,5345155.46,112918068.46,112918068.46
2009-02-09,0,0,-0.27536654575628106,0.9509,5706098.18,116285501.18,116285501.18
2009-02-10,0,0,-0.3158670807249071,0.9495,6014305.58,119086730.58,119086730.58
